baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Annetha,30,Midwife,Essex,1,1,Light Jamaican Black Cakewith Strawberries and Cream,2,IN,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
David,31,Entrepreneur,Milton Keynes,1,1,Chocolate Orange Cake,3,IN,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,1,Caramel Cinnamon and Banana Cake,1,IN,NA
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,NA,IN,NA
Jonathan,25,Research Analyst,St Albans,1,1,Carrot Cake with Lime and Cream Cheese Icing,9,IN,Three Tiered White and Dark Chocolate with Almond and Cherry
Louise,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,NA,IN,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,IN,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,IN,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
Lea,51,Retired,"Midlothian, Scotland",1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,OUT,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
Mark,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,NA,OUT,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
David,31,Entrepreneur,Milton Keynes,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,8,IN,Choux Pastry Swans  Chocolate Profiteroles
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,2,Oatmeal Raisin Cookie,6,IN,Pink Macarons
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,2,Millionaires' Shortbread,2,IN,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
Jonathan,25,Research Analyst,St Albans,1,2,Honey and Candied Ginger Cookies,1,IN,Meringues with Whiskey Cream
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,2,Fresh Vanilla Biscuits with Royal Icing,3,IN,Pistachio Macarons
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,2,Peanut Shortbread withSalted Peanut Caramel,5,IN,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
Annetha,30,Midwife,Essex,1,2,Rose Petal Shortbread,7,OUT,Pink Swirl Macarons / Eclairs
Louise,44,Police Officer,Manchester,1,2,Stained Glass Window Shortbread,4,OUT,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
Lea,51,Retired,"Midlothian, Scotland",1,2,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,2,NA,NA,NA,NA
David,31,Entrepreneur,Milton Keynes,1,3,Chilli Bread,4,IN,"Walnut and Seed Roll
Red Berry and Almond Bun"
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,3,Olive Bread,1,IN,Tomato and Mozzarella
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,3,Focaccia,5,IN,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,3,Walnut and Apricot Bread,3,IN,"Lemon Iced Buns
Chocolate and Orange Buns"
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,3,Maple and Pecan Bread,2,IN,"Chocolate and Orange Panettone
Cranberry Bagels"
Jonathan,25,Research Analyst,St Albans,1,3,"Anchovy, Sweet Paprika and Oregano Bread",6,OUT,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
Annetha,30,Midwife,Essex,1,3,NA,NA,NA,NA
Lea,51,Retired,"Midlothian, Scotland",1,3,NA,NA,NA,NA
Louise,44,Police Officer,Manchester,1,3,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,3,NA,NA,NA,NA
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,4,Apple and Plum Pudding,3,IN,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,IN,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,4,Sticky Toffee Pudding,1,IN,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,4,Peach and Blueberry Boy Bait,4,IN,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
David,31,Entrepreneur,Milton Keynes,1,4,Pear and Walnut Pudding,5,OUT,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
Annetha,30,Midwife,Essex,1,4,NA,NA,NA,NA
Jonathan,25,Research Analyst,St Albans,1,4,NA,NA,NA,NA
Lea,51,Retired,"Midlothian, Scotland",1,4,NA,NA,NA,NA
Louise,44,Police Officer,Manchester,1,4,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,4,NA,NA,NA,NA
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,5,"Chicken, Ham, Leek and Tarragon Pie",2,IN,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,5,"Summery Salmon, Cod and Prawn Fish Pie",1,IN,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,5,Minced Beef Pie,3,IN,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,5,Chicken and Mushroom Pie,4,OUT,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
Annetha,30,Midwife,Essex,1,5,NA,NA,NA,NA
David,31,Entrepreneur,Milton Keynes,1,5,NA,NA,NA,NA
Jonathan,25,Research Analyst,St Albans,1,5,NA,NA,NA,NA
Lea,51,Retired,"Midlothian, Scotland",1,5,NA,NA,NA,NA
Louise,44,Police Officer,Manchester,1,5,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,5,NA,NA,NA,NA
Miranda,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,6,Lemon Cupcake,NA,Runner-up,Eliminated after signature
Ruth,31,Retail manager/Housewife,"Poynton, Cheshire",1,6,"Mint, Ginger and Blackberry Cake",NA,Runner-up,NA
Edd,24,Debt collector for Yorkshire Bank,Bradford,1,6,Cinnamon and Banana Cake,NA,WINNER,NA
Annetha,30,Midwife,Essex,1,6,NA,NA,NA,NA
David,31,Entrepreneur,Milton Keynes,1,6,NA,NA,NA,NA
Jasminder,45,Assistant Credit Control Manager,Birmingham,1,6,NA,NA,NA,NA
Jonathan,25,Research Analyst,St Albans,1,6,NA,NA,NA,NA
Lea,51,Retired,"Midlothian, Scotland",1,6,NA,NA,NA,NA
Louise,44,Police Officer,Manchester,1,6,NA,NA,NA,NA
Mark,48,Bus Driver,South Wales,1,6,NA,NA,NA,NA
Ben,31,Graphic Designer,Northampton,2,1,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,IN,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,1,Apple and Cinnamon Cupcakes,10,IN,UNKNOWN
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,1,Raspberry and Cream Cupcakes,8,IN,Chocolate Marble Cakewith Dark and White Chocolate Truffles
Jason,19,Civil Engineering Student,Croydon,2,1,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,IN,UNKNOWN
Joanne,NA,NA,NA,2,1,NA,11,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,1,Banoffee Cupcakes,4,IN,Chocolate and Raspberry Opera cake
Robert,25,Photographer,London,2,1,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3,IN,Genoise Layered Mousse Cakewith Chocolate Ganache
Simon,31,Rugby Coach,Norfolk,2,1,Guinness and Chocolate Cupcakes,9,IN,Two-Tiered Chocolate Courgette Cake
Urvashi,40,Head of Marketing,"Enfield, London",2,1,Cherry Blossom CupcakesJapanese Lime Cupcakes,7,IN,UNKNOWN
Yasmin,43,Childminder,"West Kirby, The Wirral",2,1,Cardamom and Pomegranate Cupcakes,5,IN,UNKNOWN
Keith,31,House husband,"Arlesey, Bedfordshire",2,1,Earl Grey Cupcakes,12,OUT,Chocolate and Sour Cream Cake
Holly,31,Advertising executive,Leicester,2,1,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,STAR BAKER,UNKNOWN
Ben,31,Graphic Designer,Northampton,2,2,"Chorizo, Pepper and Gruyere Quiche",1,IN,Lemon Meringue Tarts
Holly,31,Advertising executive,Leicester,2,2,Pesto Quiche,4,IN,Milk Chocolate and Pistachio TartsTrifle Tarts
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,IN,UNKNOWN
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,2,Quiche Printanière,8,IN,Red Fruit TartsChocolate and Cherry Tarts
Joanne,NA,NA,NA,2,2,NA,10,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,IN,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
Robert,25,Photographer,London,2,2,Smoked Bacon and Kale Quiche,5,IN,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
Urvashi,40,Head of Marketing,"Enfield, London",2,2,"Crab, Coriander and Coconut Quiche",7,IN,Strawberry and Basil TartsElderflower and Honeycomb Tarts
Yasmin,43,Childminder,"West Kirby, The Wirral",2,2,Smoked Haddock and Watercress Quiche,6,IN,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
Simon,31,Rugby Coach,Norfolk,2,2,Smoked Haddock and Watercress Quiche,11,OUT,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
Jason,19,Civil Engineering Student,Croydon,2,2,Salmon and Pak Choi Quiche,3,STAR BAKER,Mint Chocolate Tarts Blueberry Bakewell Tarts
Keith,31,House husband,"Arlesey, Bedfordshire",2,2,NA,NA,NA,NA
Ben,31,Graphic Designer,Northampton,2,3,"Walnut, Raisin and Rosemary Loaf",3,IN,UNKNOWN
Holly,31,Advertising executive,Leicester,2,3,Picnic Loaf,6,IN,Stilton and Walnut Rolls
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,3,Zupfe Loaf with Gruyère Cheese,8,IN,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
Jason,19,Civil Engineering Student,Croydon,2,3,Cheese and Onion Tear and Share Loaf,7,IN,UNKNOWN
Joanne,NA,NA,NA,2,3,NA,1,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,3,Ploughman's Loaf,5,IN,Herb and Walnut BreadsChocolate and Chilli Buns
Robert,25,Photographer,London,2,3,Rye and Coriander Seed Loaf,4,IN,Blueberry Brioche RollsLemon and Poppy Seed Rolls
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,3,"Courgette, Caerphilly Cheese and Thyme Loaf",10,OUT,Walnut and Raisin RollsCracked Wheat Logs
Urvashi,40,Head of Marketing,"Enfield, London",2,3,Salt and Peppercorn Loaf,9,OUT,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
Yasmin,43,Childminder,"West Kirby, The Wirral",2,3,Egyptian Dukkah Loaf with Mixed Spices,2,STAR BAKER,"Pesto Bread
Sweet Coconut Rolls"
Keith,31,House husband,"Arlesey, Bedfordshire",2,3,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,3,NA,NA,NA,NA
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,4,Christmas Marzipan Biscuits,4,IN,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
Joanne,NA,NA,NA,2,4,NA,8,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,4,Melting Moments,2,IN,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
Robert,25,Photographer,London,2,4,Chocolate and Ginger Oat Biscuits,7,IN,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
Yasmin,43,Childminder,"West Kirby, The Wirral",2,4,Chocolate Chip and Pistachio Biscotti,6,IN,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
Ben,31,Graphic Designer,Northampton,2,4,Stem Ginger Nuts,5,OUT,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Holly,31,Advertising executive,Leicester,2,4,Strawberry and Custard Melts,3,STAR BAKER,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
Jason,19,Civil Engineering Student,Croydon,2,4,Lebkuchen,1,STAR BAKER,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,4,NA,NA,NA,NA
Keith,31,House husband,"Arlesey, Bedfordshire",2,4,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,4,NA,NA,NA,NA
Urvashi,40,Head of Marketing,"Enfield, London",2,4,NA,NA,NA,NA
Holly,31,Advertising executive,Leicester,2,5,"Stilton, Potato and Caramelised Onion Pie",4,IN,Lime Meringue Pie
Joanne,NA,NA,NA,2,5,NA,6,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,5,Chicken and Bacon Pie,2,IN,Midnight Meringue
Yasmin,43,Childminder,"West Kirby, The Wirral",2,5,Family Fish Pie,5,IN,Peach and Raspberry Meringue Pie
Jason,19,Civil Engineering Student,Croydon,2,5,Brown Down Chicken Pie,7,OUT,Plum Meringue Pie
Robert,25,Photographer,London,2,5,Chicken and Mushroom Pie,3,OUT,Rhubarb and Custard Meringue Pie
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,5,Chicken and Chestnut Pie,1,STAR BAKER,Rhubarb Meringue Pie
Ben,31,Graphic Designer,Northampton,2,5,NA,NA,NA,NA
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,5,NA,NA,NA,NA
Keith,31,House husband,"Arlesey, Bedfordshire",2,5,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,5,NA,NA,NA,NA
Urvashi,40,Head of Marketing,"Enfield, London",2,5,NA,NA,NA,NA
Holly,31,Advertising executive,Leicester,2,6,Father Christmas' Baked Cheesecake,3,IN,Hansel and Gretel's Croquembouche
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,6,Rhubarb and Ginger Baked Cheesecake,5,IN,Orange and Nougatine Croquembouche
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,6,Tutti Fruitti Curd Baked Cheesecake,4,IN,Orange and Praline Croquembouche with Cardamom Caramel
Yasmin,43,Childminder,"West Kirby, The Wirral",2,6,Baked Amaretto Cheesecake,2,OUT,Rose Croquembouche
Joanne,NA,NA,NA,2,6,NA,1,STAR BAKER,NA
Ben,31,Graphic Designer,Northampton,2,6,NA,NA,NA,NA
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,6,NA,NA,NA,NA
Jason,19,Civil Engineering Student,Croydon,2,6,NA,NA,NA,NA
Keith,31,House husband,"Arlesey, Bedfordshire",2,6,NA,NA,NA,NA
Robert,25,Photographer,London,2,6,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,6,NA,NA,NA,NA
Urvashi,40,Head of Marketing,"Enfield, London",2,6,NA,NA,NA,NA
Holly,31,Advertising executive,Leicester,2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1,IN,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
Joanne,NA,NA,NA,2,7,NA,3,IN,NA
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,7,Chocolate and Orange Mousse Cake,2,IN,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,7,Chocolate Amaretto Mousse Cake,4,OUT,Pain Aux RaisinPlain CroissantPain Au Chocolat
Ben,31,Graphic Designer,Northampton,2,7,NA,NA,NA,NA
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,7,NA,NA,NA,NA
Jason,19,Civil Engineering Student,Croydon,2,7,NA,NA,NA,NA
Keith,31,House husband,"Arlesey, Bedfordshire",2,7,NA,NA,NA,NA
Robert,25,Photographer,London,2,7,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,7,NA,NA,NA,NA
Urvashi,40,Head of Marketing,"Enfield, London",2,7,NA,NA,NA,NA
Yasmin,43,Childminder,"West Kirby, The Wirral",2,7,NA,NA,NA,NA
Holly,31,Advertising executive,Leicester,2,8,Banoffee Inspired Mille Feuille,2,Runner-up,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
Mary-Anne,45,Housewife,"Kidderminster, Worcestershire",2,8,Lemon and Ginger Mille Feuille,3,Runner-up,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
Joanne,NA,NA,NA,2,8,NA,1,WINNER,NA
Ben,31,Graphic Designer,Northampton,2,8,NA,NA,NA,NA
Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,8,NA,NA,NA,NA
Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,8,NA,NA,NA,NA
Jason,19,Civil Engineering Student,Croydon,2,8,NA,NA,NA,NA
Keith,31,House husband,"Arlesey, Bedfordshire",2,8,NA,NA,NA,NA
Robert,25,Photographer,London,2,8,NA,NA,NA,NA
Simon,31,Rugby Coach,Norfolk,2,8,NA,NA,NA,NA
Urvashi,40,Head of Marketing,"Enfield, London",2,8,NA,NA,NA,NA
Yasmin,43,Childminder,"West Kirby, The Wirral",2,8,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,1,"Plum, Sour Cherry & Walnut",10,IN,UNKNOWN
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,1,"Apple, Hazelnut and Calvados",5,IN,Hidden Cupcake Cake
Danny,45,Intensive care consultant,Sheffield,3,1,"Plum, Ginger & Orange",7,IN,UNKNOWN
James,21,Medical student,"Hillswick, Shetland Islands",3,1,"Parsnip, Pear, and Pecan",2,IN,"""Simmer Dim"" Sunset Cake"
John,22,Law student,Wigan,3,1,"Toffee Apple, Orange & Cranberry",11,IN,Hidden Pink Hearts Cake
Manisha,27,Nursery nurse,Leicester,3,1,"Vanilla, Peach and Raspberry",6,IN,White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
Peter,43,Sales manager,"Windsor, Berkshire",3,1,"Pear, Muscat & Chocolate",3,IN,Jubilee Cake
Ryan,38,Photographer,Bristol,3,1,Kumquat and Orange Polenta,8,IN,Hidden Flowerbed Mousse Cake
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,1,"Pear, Chocolate and Hazelnut",1,IN,Hidden Crown Cake
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,1,Tomato and Ginger,9,IN,Lemon and Pistachio Union Flag Cake
Natasha,36,Midwife,"Tamworth, Staffordshire",3,1,Pineapple & Passion Fruit,12,OUT,Mother's Day Layered Rose Cake
Victoria,50,CEO of the charity Plantlife,Somerset,3,1,Pear and Pecan,4,STAR BAKER,Blackbird Pie Cake
Brendan,63,Recruitment consultant,Sutton Coldfield,3,2,Middle Eastern Taboon BreadIndian Rotis,4,IN,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,IN,"Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
Danny,45,Intensive care consultant,Sheffield,3,2,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,IN,UNKNOWN
James,21,Medical student,"Hillswick, Shetland Islands",3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,IN,"Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
Manisha,27,Nursery nurse,Leicester,3,2,Indian FlatbreadsItalian Flatbreads,6,IN,UNKNOWN
Ryan,38,Photographer,Bristol,3,2,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,IN,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,2,Toasted Coconut and Lime RotisOatcakes,10,IN,UNKNOWN
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,2,Bombay BreadChorizo and Spring Onion Naan,9,IN,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
Victoria,50,CEO of the charity Plantlife,Somerset,3,2,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,IN,"Saffron and Golden Raisin Bagels
Porcini Bagels"
Peter,43,Sales manager,"Windsor, Berkshire",3,2,Fennel and Nigella Seed NaanBannock Bread,11,OUT,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
John,22,Law student,Wigan,3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,STAR BAKER,"Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
Natasha,36,Midwife,"Tamworth, Staffordshire",3,2,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,3,Apple and Ginger Tarte Tatin,9,IN,"Blackberry, Nectarine and Dragon Fruit Tart"
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,3,"Plum, Cherry and Five Spice Tarte Tatin",3,IN,"Raspberry, Pistachio and Lemon Tart"
Danny,45,Intensive care consultant,Sheffield,3,3,Savoury Pear and Roquefort Tarte Tatin,2,IN,"Pineapple, Coconut and Frangipane Tart"
John,22,Law student,Wigan,3,3,Apple and Vanilla Tarte Tatin with Walnut Praline,6,IN,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
Manisha,27,Nursery nurse,Leicester,3,3,"Cinnamon, Apple and Pear Tarte Tatin",10,IN,Rum and Tropical Fruit Tart
Ryan,38,Photographer,Bristol,3,3,Spiced Pear Tarte Tatin,5,IN,UNKNOWN
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,3,Caramelised Banana Tarte Tatin,8,IN,French Apple Tart with Blackberry and Cassis Jam
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,3,Pear and Almond Tarte Tatin,7,IN,Raspberry Triple Chocolate Layered Tart
Victoria,50,CEO of the charity Plantlife,Somerset,3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,OUT,Tropical Fruit Tart with Black Pepper Crust
James,21,Medical student,"Hillswick, Shetland Islands",3,3,Apple and Lavender Tarte Tatin,1,STAR BAKER,"Rose, Lychee and Raspberry Fruit Tart"
Natasha,36,Midwife,"Tamworth, Staffordshire",3,3,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,3,NA,NA,NA,NA
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,4,"White Chocolate, Macadamia and Coffee Torte",3,IN,"Gooseberry, Almond and Honey Meringue"
Danny,45,Intensive care consultant,Sheffield,3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,IN,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
James,21,Medical student,"Hillswick, Shetland Islands",3,4,"Hazelnut, Chocolate and Passionfruit Torte",5,IN,"Fig, Chestnut, Cherry and Chocolate Layered Meringue"
John,22,Law student,Wigan,3,4,'Torte Noir' Black Forest Torte with Boozy Cream,6,IN,Elderflower and Bramble Berry Pavlova
Manisha,27,Nursery nurse,Leicester,3,4,"Almond, Chocolate and Cherry Torte",9,IN,Tiramisu Layered Meringue Dessert
Ryan,38,Photographer,Bristol,3,4,Green Tea Opera Torte,7,IN,"Strawberry, Rose and Pistachio Meringue"
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,4,Chocolate and Almond Truffle Torte,4,IN,Hazelnut Tiramisu Layered Meringue
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,4,Black Forest Torte,8,OUT,Choca Blocka Mocha Meringue
Brendan,63,Recruitment consultant,Sutton Coldfield,3,4,Clementine and Chestnut Torte,1,STAR BAKER,"Pear, Chocolate and Hazelnut Dacquoise"
Natasha,36,Midwife,"Tamworth, Staffordshire",3,4,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,4,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,4,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,5,Salmon Coulibiac in a Scandinavian Pastry,3,IN,All American Chiffon Pie
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,5,Full English Wellington,1,IN,Chocolate and Peanut Butter Pumpkin Pie
Danny,45,Intensive care consultant,Sheffield,3,5,"Chickpea, Spinach & Mushroom Wellington",7,IN,Trick or Treat Pumpkin Pie
James,21,Medical student,"Hillswick, Shetland Islands",3,5,Four Pig Wellington,6,IN,Sweet Potato Pie
John,22,Law student,Wigan,3,5,Venison and Haggis Wellington,2,IN,Star-Spangled Pecan Pie
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,5,Beef Wellington with Parma Ham and Gorgonzola Cheese,4,IN,Chocolate and Banana Cream Pie
Manisha,27,Nursery nurse,Leicester,3,5,Lamb Wellington with Rosemary and Mint,5,OUT,Banana Scotch Pie
Ryan,38,Photographer,Bristol,3,5,Curry Spiced Seabass Wellington,8,STAR BAKER,Key Lime Pie
Natasha,36,Midwife,"Tamworth, Staffordshire",3,5,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,5,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,5,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,5,NA,NA,NA,NA
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges",3,IN,Roasted Vegetable Couscous and Sheep Cheese Strudel
